title,abstract
conservation of polyamine regulation by translational frameshifting from yeast to mammals .,"regulation of ornithine decarboxylase in vertebrates involves a negative feedback mechanism requiring the protein antizyme . here we show that a similar mechanism exists in the fission yeast schizosaccharomyces pombe . the expression of mammalian antizyme genes requires a specific +1 translational frameshift . the efficiency of the frameshift event reflects cellular polyamine levels creating the autoregulatory feedback loop . as shown here , the yeast antizyme gene and several newly identified antizyme genes from different nematodes also require a ribosomal frameshift event for their expression . twelve nucleotides around the frameshift site are identical between s.pombe and the mammalian counterparts . the core element for this frameshifting is likely to have been present in the last common ancestor of yeast , nematodes and mammals ."
heterogeneous nuclear ribonucleoprotein a1 regulates rna synthesis of a cytoplasmic virus .,"heterogeneous nuclear ribonucleoprotein ( hnrnp a1 ) is involved in pre-mrna splicing in the nucleus and translational regulation in the cytoplasm . in the present study , we demonstrate that hnrnp a1 also participates in the transcription and replication of a cytoplasmic rna virus , mouse hepatitis virus ( mhv ) . overexpression of hnrnp a1 accelerated the kinetics of viral rna synthesis , whereas the expression in the cytoplasm of a dominant - negative hnrnp a1 mutant that lacks the nuclear transport domain significantly delayed it . the hnrnp a1 mutant caused a global inhibition of viral mrna transcription and genomic replication , and also a preferential inhibition of the replication of defective - interfering rnas . similar to the wild - type hnrnp a1 , the hnrnp a1 mutant complexed with an mhv polymerase gene product , the nucleocapsid protein and the viral rna . however , in contrast to the wild - type hnrnp a1 , the mutant protein failed to bind a 250 kda cellular protein , suggesting that the recruitment of cellular proteins by hnrnp a1 is important for mhv rna synthesis . our findings establish the importance of cellular factors in viral rna - dependent rna synthesis ."
a method to identify p62 's uba domain interacting proteins .,"the uba domain is a conserved sequence motif among polyubiquitin binding proteins . for the first time , we demonstrate a systematic , high throughput approach to identification of uba domain - interacting proteins from a proteome - wide perspective . using the rabbit reticulocyte lysate in vitro expression cloning system , we have successfully identified eleven proteins that interact with p62 ’s uba domain , and the majority of the eleven proteins are associated with neurodegenerative disorders , such as alzheimer ’s disease . therefore , p62 may play a novel regulatory role through its uba domain . our approach provides an easy route to the characterization of uba domain interacting proteins and its application will unfold the important roles that the uba domain plays ."
vaccinia virus infection disrupts microtubule organization and centrosome function .,"we examined the role of the microtubule cytoskeleton during vaccinia virus infection . we found that newly assembled virus particles accumulate in the vicinity of the microtubule - organizing centre in a microtubule - and dynein – dynactin complex - dependent fashion . microtubules are required for efficient intracellular mature virus ( imv ) formation and are essential for intracellular enveloped virus ( iev ) assembly . as infection proceeds , the microtubule cytoskeleton becomes dramatically reorganized in a fashion reminiscent of overexpression of microtubule - associated proteins ( maps ) . consistent with this , we report that the vaccinia proteins a10l and l4r have map - like properties and mediate direct binding of viral cores to microtubules in vitro . in addition , vaccinia infection also results in severe reduction of proteins at the centrosome and loss of centrosomal microtubule nucleation efficiency . this represents the first example of viral - induced disruption of centrosome function . further studies with vaccinia will provide insights into the role of microtubules during viral pathogenesis and regulation of centrosome function ."
"multi-faceted , multi-versatile microarray : simultaneous detection of many viruses and their expression profiles .","there are hundreds of viruses that infect different human organs and cause diseases . some fatal emerging viral infections have become serious public health issues worldwide . early diagnosis and subsequent treatment are therefore essential for fighting viral infections . current diagnostic techniques frequently employ polymerase chain reaction ( pcr ) - based methods to quickly detect the pathogenic viruses and establish the etiology of the disease or illness . however , the fast pcr method suffers from many drawbacks such as a high false - positive rate and the ability to detect only one or a few gene targets at a time . microarray technology solves the problems of the pcr limitations and can be effectively applied to all fields of molecular medicine . recently , a report in retrovirology described a multi-virus dna array that contains more than 250 open reading frames from eight human viruses including human immunodeficiency virus type 1 . this array can be used to detect multiple viral co-infections in cells and in vivo . another benefit of this kind of multi-virus array is in studying promoter activity and viral gene expression and correlating such readouts with the progression of disease and reactivation of latent infections . thus , the virus dna - chip development reported in retrovirology is an important advance in diagnostic application which could be a potent clinical tool for characterizing viral co-infections in aids as well as other patients ."
herpes simplex virus type 1 and normal protein permeability in the lungs of critically ill patients : a case for low pathogenicity ?,"introduction : the pathogenicity of late respiratory infections with herpes simplex virus type 1 ( hsv - 1 ) in the critically ill is unclear . methods : in four critically ill patients with persistent pulmonary infiltrates of unknown origin and isolation of hsv - 1 from tracheal aspirate or bronchoalveolar lavage fluid , at 7 ( 1 – 11 ) days after start of mechanical ventilatory support , a pulmonary leak index ( pli ) for ( 67 ) gallium ( ( 67 ) ga ) - transferrin ( upper limit of normal 14.1 × 10 ( - 3 ) / min ) was measured . results : the pli ranged between 7.5 and 14.0 × 10 ( - 3 ) / min in the study patients . two patients received a course of acyclovir and all survived . conclusions : the normal capillary permeability observed in the lungs argues against pathogenicity of hsv - 1 in the critically ill , and favors that isolation of the virus reflects reactivation in the course of serious illness and immunodepresssion , rather than primary or superimposed infection in the lungs ."
logistics of community smallpox control through contact tracing and ring vaccination : a stochastic network model .,"background : previous smallpox ring vaccination models based on contact tracing over a network suggest that ring vaccination would be effective , but have not explicitly included response logistics and limited numbers of vaccinators . methods : we developed a continuous - time stochastic simulation of smallpox transmission , including network structure , post-exposure vaccination , vaccination of contacts of contacts , limited response capacity , heterogeneity in symptoms and infectiousness , vaccination prior to the discontinuation of routine vaccination , more rapid diagnosis due to public awareness , surveillance of asymptomatic contacts , and isolation of cases . results : we found that even in cases of very rapidly spreading smallpox , ring vaccination ( when coupled with surveillance ) is sufficient in most cases to eliminate smallpox quickly , assuming that 95 % of household contacts are traced , 80 % of workplace or social contacts are traced , and no casual contacts are traced , and that in most cases the ability to trace 1 – 5 individuals per day per index case is sufficient . if smallpox is assumed to be transmitted very quickly to contacts , it may at times escape containment by ring vaccination , but could be controlled in these circumstances by mass vaccination . conclusions : small introductions of smallpox are likely to be easily contained by ring vaccination , provided contact tracing is feasible . uncertainties in the nature of bioterrorist smallpox ( infectiousness , vaccine efficacy ) support continued planning for ring vaccination as well as mass vaccination . if initiated , ring vaccination should be conducted without delays in vaccination , should include contacts of contacts ( whenever there is sufficient capacity ) and should be accompanied by increased public awareness and surveillance ."
protection of pulmonary epithelial cells from oxidative stress by hmyh adenine glycosylase .,"background : oxygen toxicity is a major cause of lung injury . the base excision repair pathway is one of the most important cellular protection mechanisms that responds to oxidative dna damage . lesion - specific dna repair enzymes include hogg1 , hmyh , hnth and hmth . methods : the above lesion - specific dna repair enzymes were expressed in human alveolar epithelial cells ( a549 ) using the psf91 .1 retroviral vector . cells were exposed to a 95 % oxygen environment , ionizing radiation ( ir ) , or h ( 2 ) o ( 2 ) . cell growth analysis was performed under non-toxic conditions . western blot analysis was performed to verify over-expression and assess endogenous expression under toxic and non-toxic conditions . statistical analysis was performed using the paired student 's t test with significance being accepted for p < 0.05 . results : cell killing assays demonstrated cells over-expressing hmyh had improved survival to both increased oxygen and ir . cell growth analysis of a549 cells under non-toxic conditions revealed cells over-expressing hmyh also grow at a slower rate . western blot analysis demonstrated over-expression of each individual gene and did not result in altered endogenous expression of the others . however , it was observed that o ( 2 ) toxicity did lead to a reduced endogenous expression of hnth in a549 cells . conclusion : increased expression of the dna glycosylase repair enzyme hmyh in a549 cells exposed to o ( 2 ) and ir leads to improvements in cell survival . dna repair through the base excision repair pathway may provide an alternative way to offset the damaging effects of o ( 2 ) and its metabolites ."
bioinformatic mapping of alkb homology domains in viruses .,"background : alkb - like proteins are members of the 2 - oxoglutarate - and fe ( ii ) - dependent oxygenase superfamily . in escherichia coli the protein protects rna and dna against damage from methylating agents . 1 - methyladenine and 3 - methylcytosine are repaired by oxidative demethylation and direct reversal of the methylated base back to its unmethylated form . genes for alkb homologues are widespread in nature , and eukaryotes often have several genes coding for alkb - like proteins . similar domains have also been observed in certain plant viruses . the function of the viral domain is unknown , but it has been suggested that it may be involved in protecting the virus against the post-transcriptional gene silencing ( ptgs ) system found in plants . we wanted to do a phylogenomic mapping of viral alkb - like domains as a basis for analysing functional aspects of these domains , because this could have some relevance for understanding possible alternative roles of alkb homologues e.g. in eukaryotes . results : profile - based searches of protein sequence libraries showed that alkb - like domains are found in at least 22 different single - stranded rna positive - strand plant viruses , but mainly in a subgroup of the flexiviridae family . sequence analysis indicated that the alkb domains probably are functionally conserved , and that they most likely have been integrated relatively recently into several viral genomes at geographically distinct locations . this pattern seems to be more consistent with increased environmental pressure , e.g. from methylating pesticides , than with interaction with the ptgs system . conclusions : the alkb domain found in viral genomes is most likely a conventional dna / rna repair domain that protects the viral rna genome against methylating compounds from the environment ."
managing emerging infectious diseases : is a federal system an impediment to effective laws ?,"in the 1980 's and 1990 's hiv / aids was the emerging infectious disease . in 2003 – 2004 we saw the emergence of sars , avian influenza and anthrax in a man made form used for bioterrorism . emergency powers legislation in australia is a patchwork of commonwealth quarantine laws and state and territory based emergency powers in public health legislation . it is time for a review of such legislation and time for consideration of the efficacy of such legislation from a country wide perspective in an age when we have to consider the possibility of mass outbreaks of communicable diseases which ignore jurisdictional boundaries ."
protein secretion in lactococcus lactis : an efficient way to increase the overall heterologous protein production .,"lactococcus lactis , the model lactic acid bacterium ( lab ) , is a food grade and well - characterized gram positive bacterium . it is a good candidate for heterologous protein delivery in foodstuff or in the digestive tract . l. lactis can also be used as a protein producer in fermentor . many heterologous proteins have already been produced in l. lactis but only few reports allow comparing production yields for a given protein either produced intracellularly or secreted in the medium . here , we review several works evaluating the influence of the localization on the production yields of several heterologous proteins produced in l. lactis . the questions of size limits , conformation , and proteolysis are addressed and discussed with regard to protein yields . these data show that i ) secretion is preferable to cytoplasmic production ; ii ) secretion enhancement ( by signal peptide and propeptide optimization ) results in increased production yield ; iii ) protein conformation rather than protein size can impair secretion and thus alter production yields ; and iv ) fusion of a stable protein can stabilize labile proteins . the role of intracellular proteolysis on heterologous cytoplasmic proteins and precursors is discussed . the new challenges now are the development of food grade systems and the identification and optimization of host factors affecting heterologous protein production not only in l. lactis , but also in other lab species ."
detection and characterization of horizontal transfers in prokaryotes using genomic signature .,"horizontal dna transfer is an important factor of evolution and participates in biological diversity . unfortunately , the location and length of horizontal transfers ( hts ) are known for very few species . the usage of short oligonucleotides in a sequence ( the so - called genomic signature ) has been shown to be species - specific even in dna fragments as short as 1 kb . the genomic signature is therefore proposed as a tool to detect hts . since dna transfers originate from species with a signature different from those of the recipient species , the analysis of local variations of signature along recipient genome may allow for detecting exogenous dna . the strategy consists in ( i ) scanning the genome with a sliding window , and calculating the corresponding local signature ( ii ) evaluating its deviation from the signature of the whole genome and ( iii ) looking for similar signatures in a database of genomic signatures . a total of 22 prokaryote genomes are analyzed in this way . it has been observed that atypical regions make up ∼ 6 % of each genome on the average . most of the claimed hts as well as new ones are detected . the origin of putative dna transfers is looked for among ∼ 12 000 species . donor species are proposed and sometimes strongly suggested , considering similarity of signatures . among the species studied , bacillus subtilis , haemophilus influenzae and escherichia coli are investigated by many authors and give the opportunity to perform a thorough comparison of most of the bioinformatics methods used to detect hts ."
"comparisons of substitution , insertion and deletion probes for resequencing and mutational analysis using oligonucleotide microarrays .","although oligonucleotide probes complementary to single nucleotide substitutions are commonly used in microarray - based screens for genetic variation , little is known about the hybridization properties of probes complementary to small insertions and deletions . it is necessary to define the hybridization properties of these latter probes in order to improve the specificity and sensitivity of oligonucleotide microarray - based mutational analysis of disease - related genes . here , we compare and contrast the hybridization properties of oligonucleotide microarrays consisting of 25mer probes complementary to all possible single nucleotide substitutions and insertions , and one and two base deletions in the 9168 bp coding region of the atm ( ataxia telangiectasia mutated ) gene . over 68 different dye - labeled single - stranded nucleic acid targets representing all atm coding exons were applied to these microarrays . we assess hybridization specificity by comparing the relative hybridization signals from probes perfectly matched to atm sequences to those containing mismatches . probes complementary to two base substitutions displayed the highest average specificity followed by those complementary to single base substitutions , single base deletions and single base insertions . in all the cases , hybridization specificity was strongly influenced by sequence context and possible intra - and intermolecular probe and / or target structure . furthermore , single nucleotide substitution probes displayed the most consistent hybridization specificity data followed by single base deletions , two base deletions and single nucleotide insertions . overall , these studies provide valuable empirical data that can be used to more accurately model the hybridization properties of insertion and deletion probes and improve the design and interpretation of oligonucleotide microarray - based resequencing and mutational analysis ."
a gene encoding sialic - acid - specific 9 - o - acetylesterase found in human adult testis .,"using differential display rt - pcr , we identified a gene of 2750 bp from human adult testis , named h - lse , which encoded a putative protein of 523 amino acids and molecular weight of 58 kd with structural characteristics similar to that of mouse lysosome sialic - acid - specific 9 - o - acetylesterase . northern blot analysis showed a widespread distribution of h - lse in various human tissues with high expression in the testis , prostate , and colon . in situ hybridization results showed that while h - lse was not detected in embryonic testis , positive signals were found in spermatocytes but not spermatogonia in adult testis of human . the subcellular localization of h - lse was visualized by green fluorescent protein ( gfp ) fused to the amino terminus of h - lse , showing compartmentalization of h - lse in large dense - core vesicles , presumably lysosomes , in the cytoplasm . the developmentally regulated and spermatogenic stage - specific expression of h - lse suggests its possible involvement in the development of the testis and / or differentiation of germ cells ."
the role of mast cells in the pathogenesis of pain in chronic pancreatitis .,background : the biological basis of pain in chronic pancreatitis is poorly understood . mast cells have been implicated in the pathogenesis of pain in other conditions . we hypothesized that mast cells play a role in the pain of chronic pancreatitis . we examined the association of pain with mast cells in autopsy specimens of patients with painful chronic pancreatitis . we explored our hypothesis further using an experimental model of trinitrobenzene sulfonic acid ( tnbs ) - induced chronic pancreatitis in both wild type ( wt ) and mast cell deficient mice ( mcdm ) . methods : archival tissues with histological diagnoses of chronic pancreatitis were identified and clinical records reviewed for presence or absence of reported pain in humans . mast cells were counted . the presence of pain was assessed using von frey filaments ( vff ) to measure abdominal withdrawal responses in both wt and mcdm mice with and without chronic pancreatitis . results : humans with painful chronic pancreatitis demonstrated a 3.5-fold increase in pancreatic mast cells as compared with those with painless chronic pancreatitis . wt mice with chronic pancreatitis were significantly more sensitive as assessed by vff pain testing of the abdomen when compared with mcdm . conclusion : humans with painful chronic pancreatitis have an increased number of pancreatic mast cells as compared with those with painless chronic pancreatitis . mcdm are less sensitive to mechanical stimulation of the abdomen after induction of chronic pancreatitis as compared with wt . mast cells may play an important role in the pathogenesis of pain in chronic pancreatitis .
recombination every day : abundant recombination in a virus during a single multi-cellular host infection .,"viral recombination can dramatically impact evolution and epidemiology . in viruses , the recombination rate depends on the frequency of genetic exchange between different viral genomes within an infected host cell and on the frequency at which such co-infections occur . while the recombination rate has been recently evaluated in experimentally co-infected cell cultures for several viruses , direct quantification at the most biologically significant level , that of a host infection , is still lacking . this study fills this gap using the cauliflower mosaic virus as a model . we distributed four neutral markers along the viral genome , and co-inoculated host plants with marker - containing and wild - type viruses . the frequency of recombinant genomes was evaluated 21 d post-inoculation . on average , over 50 % of viral genomes recovered after a single host infection were recombinants , clearly indicating that recombination is very frequent in this virus . estimates of the recombination rate show that all regions of the genome are equally affected by this process . assuming that ten viral replication cycles occurred during our experiment — based on data on the timing of coat protein detection — the per base and replication cycle recombination rate was on the order of 2 × 10 ( − 5 ) to 4 × 10 ( − 5 ) . this first determination of a virus recombination rate during a single multi-cellular host infection indicates that recombination is very frequent in the everyday life of this virus ."
torsional restraint : a new twist on frameshifting pseudoknots .,"mrna pseudoknots have a stimulatory function in programmed − 1 ribosomal frameshifting ( − 1 prf ) . though we previously presented a model for how mrna pseudoknots might activate the mechanism for − 1 prf , it did not address the question of the role that they may play in positioning the mrna relative to the ribosome in this process [ e. p. plant , k. l. m. jacobs , j. w. harger , a. meskauskas , j. l. jacobs , j. l. baxter , a. n. petrov and j. d. dinman ( 2003 ) rna , 9 , 168 – 174 ] . a separate ‘ torsional restraint ’ model suggests that mrna pseudoknots act to increase the fraction of ribosomes directed to pause with the upstream heptameric slippery site positioned at the ribosome 's a - and p - decoding sites [ j. d. dinman ( 1995 ) yeast , 11 , 1115 – 1127 ] . here , experiments using a series of ‘ pseudo-pseudoknots ’ having different degrees of rotational freedom were used to test this model . the results of this study support the mechanistic hypothesis that − 1 ribosomal frameshifting is enhanced by torsional resistance of the mrna pseudoknot ."
correcting errors in synthetic dna through consensus shuffling .,"although efficient methods exist to assemble synthetic oligonucleotides into genes and genomes , these suffer from the presence of 1 – 3 random errors / kb of dna . here , we introduce a new method termed consensus shuffling and demonstrate its use to significantly reduce random errors in synthetic dna . in this method , errors are revealed as mismatches by re-hybridization of the population . the dna is fragmented , and mismatched fragments are removed upon binding to an immobilized mismatch binding protein ( muts ) . pcr assembly of the remaining fragments yields a new population of full - length sequences enriched for the consensus sequence of the input population . we show that two iterations of consensus shuffling improved a population of synthetic green fluorescent protein ( gfpuv ) clones from ∼ 60 to > 90 % fluorescent , and decreased errors 3.5 - to 4.3-fold to final values of ∼ 1 error per 3500 bp . in addition , two iterations of consensus shuffling corrected a population of gfpuv clones where all members were non-functional , to a population where 82 % of clones were fluorescent . consensus shuffling should facilitate the rapid and accurate synthesis of long dna sequences ."
towards standardization of rna quality assessment using user - independent classifiers of microcapillary electrophoresis traces .,"while it is universally accepted that intact rna constitutes the best representation of the steady - state of transcription , there is no gold standard to define rna quality prior to gene expression analysis . in this report , we evaluated the reliability of conventional methods for rna quality assessment including uv spectroscopy and 28s : 18s area ratios , and demonstrated their inconsistency . we then used two new freely available classifiers , the degradometer and rin systems , to produce user - independent rna quality metrics , based on analysis of microcapillary electrophoresis traces . both provided highly informative and valuable data and the results were found highly correlated , while the rin system gave more reliable data . the relevance of the rna quality metrics for assessment of gene expression differences was tested by q - pcr , revealing a significant decline of the relative expression of genes in rna samples of disparate quality , while samples of similar , even poor integrity were found highly comparable . we discuss the consequences of these observations to minimize artifactual detection of false positive and negative differential expression due to rna integrity differences , and propose a scheme for the development of a standard operational procedure , with optional registration of rna integrity metrics in public repositories of gene expression data ."
factors affecting translation at the programmed − 1 ribosomal frameshifting site of cocksfoot mottle virus rna in vivo .,"the ratio between proteins p27 and replicase of cocksfoot mottle virus ( cfmv ) is regulated via a − 1 programmed ribosomal frameshift ( − 1 prf ) . a minimal frameshift signal with a slippery u uua aac heptamer and a downstream stem – loop structure was inserted into a dual reporter vector and directed − 1 prf with an efficiency of 14.4 ± 1.9 % in yeast and 2.4 ± 0.7 % in bacteria . p27 - encoding cfmv sequence flanking the minimal frameshift signal caused ∼ 2-fold increase in the − 1 prf efficiencies both in yeast and in bacteria . in addition to the expected fusion proteins , termination products ending putatively at the frameshift site were found in yeast cells . we propose that the amount of premature translation termination from control mrnas played a role in determining the calculated − 1prf efficiency . co-expression of cfmv p27 with the dual reporter vector containing the minimal frameshift signal reduced the production of the downstream reporter , whereas replicase co-expression had no pronounced effect . this finding allows us to propose that cfmv protein p27 may influence translation at the frameshift site but the mechanism needs to be elucidated ."
australian public health policy in 2003 – 2004 .,"in australia , compared with other developed countries the many and varied programs which comprise public health have continued to be funded poorly and unsystematically , particularly given the amount of publicly voiced political support . in 2003 , the major public health policy developments in communicable disease control were in the fields of sars , and vaccine funding , whilst the tga was focused on the pan pharmaceutical crisis . programs directed to health maintenance and healthy ageing were approved . the tertiary education sector was involved in the development of programs for training the public health workforce and new professional qualifications and competencies . the abelson report received support from overseas experts , providing a potential platform for calls to improve national funding for future australian preventive programs ; however , inconsistencies continued across all jurisdictions in their approaches to tackling national health priorities . despite 2004 being an election year , public health policy was not visible , with the bulk of the public health funding available in the 2004/05 federal budget allocated to managing such emerging risks as avian flu . we conclude by suggesting several implications for the future ."
